spell,normalized_name,core_pdf_page,compendium_pdf_page,difference_status,token_set_similarity,audit_note,core_citation,compendium_citation,verification_status
Insect Plague,insect plague,62,131,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 62.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 131.",Verified - programmatic full-text comparison
Instant Summons,instant summons,63,131,Minor revision,99.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 63.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 131.",Verified - programmatic full-text comparison
Interposing Hand,interposing hand,63,132,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 63.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 132.",Verified - programmatic full-text comparison
Invisibility Purge,invisibility purge,64,133,Minor revision,97.6,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 64.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 133.",Verified - programmatic full-text comparison
Invisibility Sphere,invisibility sphere,64,133,Minor revision,98.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 64.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 133.",Verified - programmatic full-text comparison
"Invisibility, Greater","invisibility, greater",63,133,Substantive revision,95.4,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 63.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 133.",Verified - programmatic full-text comparison
"Invisibility, Mass","invisibility, mass",63,133,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 63.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 133.",Verified - programmatic full-text comparison
Iron Body,iron body,64,133,Minor revision,99.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 64.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 133.",Verified - programmatic full-text comparison
Ironwood,ironwood,64,134,Minor revision,97.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 64.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 134.",Verified - programmatic full-text comparison
Jump,jump,64,136,Minor revision,97.8,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 64.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 136.",Verified - programmatic full-text comparison
Keen Edge,keen edge,64,137,Substantive revision,94.7,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 64.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 137.",Verified - programmatic full-text comparison
Know Direction,know direction,64,138,Substantive revision,96.9,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 64.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 138.",Verified - programmatic full-text comparison
Legend Lore,legend lore,64,140,Minor revision,97.7,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 64.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 140.",Verified - programmatic full-text comparison
Light,light,65,143,Substantive revision,96.8,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 65.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 143.",Verified - programmatic full-text comparison
Liveoak,liveoak,65,145,Minor revision,99.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 65.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 145.",Verified - programmatic full-text comparison
Locate Creature,locate creature,65,146,Minor revision,99.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 65.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 146.",Verified - programmatic full-text comparison
Locate Object,locate object,65,146,Minor revision,99.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 65.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 146.",Verified - programmatic full-text comparison
Longstrider,longstrider,65,147,Minor revision,97.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 65.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 147.",Verified - programmatic full-text comparison
Lullaby,lullaby,65,147,Editorial / formatting-only,99.6,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 65.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 147.",Verified - programmatic full-text comparison
Mage Hand,mage hand,65,150,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 65.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 150.",Verified - programmatic full-text comparison
Mage’S Faithful Hound,mage's faithful hound,66,150,Minor revision,97.6,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 66.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 150.",Verified - programmatic full-text comparison
Mage’S Lucubration,mage's lucubration,66,150,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 66.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 150.",Verified - programmatic full-text comparison
Mage’S Magnificent Mansion,mage's magnificent mansion,66,151,Substantive revision,93.8,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 66.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 151.",Verified - programmatic full-text comparison
Mage’S Private Sanctum,mage's private sanctum,66,151,Minor revision,99.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 66.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 151.",Verified - programmatic full-text comparison
Mage’S Sword,mage's sword,66,151,Minor revision,98.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 66.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 151.",Verified - programmatic full-text comparison
Magic Aura,magic aura,66,151,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 66.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 151.",Verified - programmatic full-text comparison
Magic Circle Against Chaos,magic circle against chaos,66,151,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 66.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 151.",Verified - programmatic full-text comparison
Magic Circle Against Evil,magic circle against evil,66,151,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 66.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 151.",Verified - programmatic full-text comparison
Magic Circle Against Good,magic circle against good,67,151,Substantive revision,95.0,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 67.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 151.",Verified - programmatic full-text comparison
Magic Circle Against Law,magic circle against law,67,151,Substantive revision,95.2,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 67.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 151.",Verified - programmatic full-text comparison
Magic Jar,magic jar,67,151,Minor revision,97.6,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 67.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 151.",Verified - programmatic full-text comparison
Magic Mouth,magic mouth,67,151,Minor revision,98.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 67.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 151.",Verified - programmatic full-text comparison
Magic Stone,magic stone,67,152,Editorial / formatting-only,99.5,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 67.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 152.",Verified - programmatic full-text comparison
Magic Weapon,magic weapon,67,152,Minor revision,97.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 67.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 152.",Verified - programmatic full-text comparison
Major Creation,major creation,67,152,Minor revision,98.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 67.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 152.",Verified - programmatic full-text comparison
Major Image,major image,67,152,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 67.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 152.",Verified - programmatic full-text comparison
Mark Of Justice,mark of justice,67,154,Minor revision,97.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 67.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 154.",Verified - programmatic full-text comparison
Meld Into Stone,meld into stone,67,155,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 67.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 155.",Verified - programmatic full-text comparison
Mending,mending,68,155,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 68.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 155.",Verified - programmatic full-text comparison
Message,message,68,155,Minor revision,99.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 68.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 155.",Verified - programmatic full-text comparison
Mind Blank,mind blank,68,156,Substantive revision,96.5,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 68.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 156.",Verified - programmatic full-text comparison
Mind Fog,mind fog,68,156,Substantive revision,96.2,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 68.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 156.",Verified - programmatic full-text comparison
Minor Creation,minor creation,68,156,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 68.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 156.",Verified - programmatic full-text comparison
Minor Image,minor image,68,157,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 68.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 157.",Verified - programmatic full-text comparison
Miracle,miracle,69,157,Minor revision,98.6,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 69.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 157.",Verified - programmatic full-text comparison
Mirage Arcana,mirage arcana,68,157,Minor revision,99.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 68.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 157.",Verified - programmatic full-text comparison
Misdirection,misdirection,70,157,Minor revision,97.8,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 70.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 157.",Verified - programmatic full-text comparison
Mnemonic Enhancer,mnemonic enhancer,70,158,Minor revision,98.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 70.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 158.",Verified - programmatic full-text comparison
Moment Of Prescience,moment of prescience,70,158,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 70.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 158.",Verified - programmatic full-text comparison
Mount,mount,70,159,Substantive revision,96.1,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 70.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 159.",Verified - programmatic full-text comparison
Neutralize Poison,neutralize poison,70,163,Minor revision,97.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 70.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 163.",Verified - programmatic full-text comparison
Nondetection,nondetection,70,163,Minor revision,97.8,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 70.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 163.",Verified - programmatic full-text comparison
Obscure Object,obscure object,70,165,Editorial / formatting-only,99.6,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 70.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 165.",Verified - programmatic full-text comparison
Open/Close,open/close,70,166,Minor revision,98.5,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 70.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 166.",Verified - programmatic full-text comparison
Overland Flight,overland flight,71,167,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 71.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 167.",Verified - programmatic full-text comparison
Owl’S Wisdom,owl's wisdom,71,168,Minor revision,98.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 71.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 168.",Verified - programmatic full-text comparison
"Owl’S Wisdom, Mass","owl's wisdom, mass",71,168,Substantive revision,94.2,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 71.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 168.",Verified - programmatic full-text comparison
Pass Without Trace,pass without trace,71,170,Editorial / formatting-only,99.7,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 71.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 170.",Verified - programmatic full-text comparison
Passwall,passwall,71,171,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 71.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 171.",Verified - programmatic full-text comparison
Permanency,permanency,71,171,Minor revision,99.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 71.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 171.",Verified - programmatic full-text comparison
Permanent Image,permanent image,71,171,Minor revision,97.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 71.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 171.",Verified - programmatic full-text comparison
Persistent Image,persistent image,72,172,Substantive revision,96.6,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 72.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 172.",Verified - programmatic full-text comparison
Phantom Trap,phantom trap,72,172,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 72.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 172.",Verified - programmatic full-text comparison
Phase Door,phase door,72,173,Minor revision,98.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 72.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 173.",Verified - programmatic full-text comparison
Planar Ally,planar ally,72,174,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 72.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 174.",Verified - programmatic full-text comparison
"Planar Ally, Greater","planar ally, greater",72,174,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 72.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 174.",Verified - programmatic full-text comparison
"Planar Ally, Lesser","planar ally, lesser",72,174,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 72.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 174.",Verified - programmatic full-text comparison
Planar Binding,planar binding,72,174,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 72.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 174.",Verified - programmatic full-text comparison
"Planar Binding, Greater","planar binding, greater",72,174,Substantive revision,96.6,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 72.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 174.",Verified - programmatic full-text comparison
"Planar Binding, Lesser","planar binding, lesser",73,174,Minor revision,98.9,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 73.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 174.",Verified - programmatic full-text comparison
Plant Growth,plant growth,73,175,Substantive revision,96.7,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 73.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 175.",Verified - programmatic full-text comparison
Plant Shape (All),plant shape (all),73,175,Minor revision,98.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 73.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 175.",Verified - programmatic full-text comparison
Poison,poison,73,176,Minor revision,97.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 73.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 176.",Verified - programmatic full-text comparison
Polymorph,polymorph,73,176,Minor revision,98.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 73.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 176.",Verified - programmatic full-text comparison
Polymorph Any Object,polymorph any object,74,177,Minor revision,99.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 74.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 177.",Verified - programmatic full-text comparison
"Polymorph, Greater","polymorph, greater",74,177,Minor revision,97.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 74.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 177.",Verified - programmatic full-text comparison
Prestidigitation,prestidigitation,74,178,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 74.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 178.",Verified - programmatic full-text comparison
Prismatic Wall,prismatic wall,74,179,Minor revision,98.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 74.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 179.",Verified - programmatic full-text comparison
Produce Flame,produce flame,75,180,Minor revision,99.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 75.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 180.",Verified - programmatic full-text comparison
Programmed Image,programmed image,75,180,Minor revision,98.9,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 75.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 180.",Verified - programmatic full-text comparison
Project Image,project image,75,180,Minor revision,99.5,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 75.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 180.",Verified - programmatic full-text comparison
Protection From Energy,protection from energy,75,181,Minor revision,97.7,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 75.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 181.",Verified - programmatic full-text comparison
Protection From Spells,protection from spells,75,181,Minor revision,99.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 75.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 181.",Verified - programmatic full-text comparison
Prying Eyes,prying eyes,75,181,Minor revision,98.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 75.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 181.",Verified - programmatic full-text comparison
"Prying Eyes, Greater","prying eyes, greater",76,182,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 76.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 182.",Verified - programmatic full-text comparison
Purify Food And Drink,purify food and drink,76,182,Minor revision,98.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 76.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 182.",Verified - programmatic full-text comparison
Pyrotechnics,pyrotechnics,76,183,Minor revision,97.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 76.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 183.",Verified - programmatic full-text comparison
Quench,quench,76,184,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 76.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 184.",Verified - programmatic full-text comparison
Rage,rage,76,185,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 76.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 185.",Verified - programmatic full-text comparison
Rainbow Pattern,rainbow pattern,76,187,Editorial / formatting-only,99.7,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 76.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 187.",Verified - programmatic full-text comparison
Raise Dead,raise dead,76,187,Minor revision,99.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 76.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 187.",Verified - programmatic full-text comparison
Ray Of Exhaustion,ray of exhaustion,77,188,Substantive revision,94.8,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 77.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 188.",Verified - programmatic full-text comparison
Ray Of Frost,ray of frost,77,188,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 77.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 188.",Verified - programmatic full-text comparison
Read Magic,read magic,77,189,Substantive revision,96.7,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 77.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 189.",Verified - programmatic full-text comparison
Reduce Animal,reduce animal,77,191,Minor revision,97.8,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 77.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 191.",Verified - programmatic full-text comparison
"Reduce Person, Mass","reduce person, mass",77,191,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 77.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 191.",Verified - programmatic full-text comparison
Refuge,refuge,77,191,Minor revision,97.7,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 77.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 191.",Verified - programmatic full-text comparison
Reincarnate,reincarnate,77,192,Minor revision,98.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 77.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 192.",Verified - programmatic full-text comparison
